Loading NetCDF file: /capstor/scratch/cscs/lhuang/CompressionBenchmark_data/energy_flux/P2016-1020_09_chunked_cdotest_nccopy_compress.nc
Dataset contains 14 data variables
------------------------------------------------------------------------------------------------------------------------
Variable                                      Shape                Bit Pattern (MSB->LSB)                            
------------------------------------------------------------------------------------------------------------------------
longitude                                     1440                 (MSB) 0------- -------- ---00000 00000000 (LSB)
latitude                                      721                  (MSB) -------- -------- -0000000 00000000 (LSB)
level                                         N/A                  (skipped - not float)
temperature (3D+)
  Slice                                       37x721x1440          Bit Pattern (MSB->LSB)                            
  [0,:,:]                                     721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [1,:,:]                                     721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [2,:,:]                                     721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [3,:,:]                                     721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [4,:,:]                                     721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [5,:,:]                                     721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [6,:,:]                                     721x1440             (MSB) 01000011 01------ -------- -------- (LSB)
  [7,:,:]                                     721x1440             (MSB) 01000011 01------ -------- -------- (LSB)
  [8,:,:]                                     721x1440             (MSB) 01000011 01------ -------- -------- (LSB)
  [9,:,:]                                     721x1440             (MSB) 01000011 0------- -------- -------- (LSB)
  [10,:,:]                                    721x1440             (MSB) 01000011 0------- -------- -------- (LSB)
  [11,:,:]                                    721x1440             (MSB) 01000011 01------ -------- -------- (LSB)
  [12,:,:]                                    721x1440             (MSB) 01000011 01------ -------- -------- (LSB)
  [13,:,:]                                    721x1440             (MSB) 01000011 01------ -------- -------- (LSB)
  [14,:,:]                                    721x1440             (MSB) 01000011 01------ -------- -------- (LSB)
  [15,:,:]                                    721x1440             (MSB) 01000011 01------ -------- -------- (LSB)
  [16,:,:]                                    721x1440             (MSB) 01000011 01------ -------- -------- (LSB)
  [17,:,:]                                    721x1440             (MSB) 01000011 01------ -------- -------- (LSB)
  [18,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [19,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [20,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [21,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [22,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [23,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [24,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [25,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [26,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [27,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [28,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [29,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [30,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [31,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [32,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [33,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [34,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [35,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
  [36,:,:]                                    721x1440             (MSB) 01000011 -------- -------- -------- (LSB)
specific_humidity (3D+)
  Slice                                       37x721x1440          Bit Pattern (MSB->LSB)                            
